NUMERO REGISTRO;PILOTO;ID;CAT.;ESCUDERIA;TEMP;PAÍS;PISTA;FECHA;TERM;POS;PUN;FAST;FAST2;PROMEDIO PUNTOS;MEDIANA PUNTOS;DESVIACION PUNTOS;PROMEDIO POSICION;MEDIANA POSICION;DESVIACION POSICION;PROMEDIO VUELTA;MEDIANA VUELTA;DESVIACION VUELTA;DESVIACION VUELTA PILOTO;PROMEDIO TIEMPO VUELTA POR PISTA;PROM PUNTOS POR TEMPORADA;NUM DNF PILOTO;PROMEDIO PUNTOS ESCUDERIA POR TEMPORADA;PROMEDIO PUNTOS POR ESCUDERIA;PROMEDIO PUNTOS PILOTO ESCUDERIA;NUMERO DE CARRERAS FINALIZADAS;PUNTOS POR CARRERA FINALIZADA;DIF VUELTAS CARRERA;PROMEDIO VUELTA PILOTO POR PISTA;MEJOR TIEMPO PILOTO PISTA;PEOR TIEMPO PILOTO PISTA;FRECUENCIA DE MEJORA;PUNTOS DE EQUIPO;INDICE DE COMPETITIVIDAD;CONSISTENCIA DE PUNTOS;PROMEDIO POSICIONES TEMPORADA;PROGRESION DE MEJORAS;RELACION PUNTOS POSICION;CARRERAS TOTALES EN UNVIERSE;CARRERAS TOTALES EN F1;CARRERAS TOTALES EN F2;CARRERAS TOTALES EN F3;CARRERAS EN RED BULL;CARRERAS EN FERRARI;CARRERAS EN MERCEDES;CARRERAS EN MCLAREN;CARRERAS EN ASTON;CARRERAS EN WILLIAMS;CARRERAS EN ALPINE;CARRERAS EN ALPHA ROMEO;CARRERAS EN ALPHA TAURI;CARRERAS EN HAAS;PUNTOS TOTALES EN UNIVERSE;PUNTOS TOTALES EN F1;PUNTOS TOTALES EN F2;PUNTOS TOTALES EN F3;PUNTOS EN TEMPORADA 1;PUNTOS EN TEMPORADA 2;PUNTOS EN TEMPORADA 3;PUNTOS TEMPORADA 4;PUNTOS TEMPORADA 5;PUNTOS TEMPORADA 6;PROMEDIO DE PUNTOS F1;PROMEDIO DE PUNTOS F2;PROMEDIO DE PUNTOS F3;VICTORIAS TOTALES UNIVERSE;VICTORIAS TOTALES F1;VICTORIAS TOTALES F2;VICTORIAS TOTALES F3;PODIOS TOTALES UNIVERSE;PODIOS TOTALES UNIVERSE F1;PODIOS TOTALES UNIVERSE F2;PODIOS TOTALES UNIVERSE F3
1;ERICK;ERICK 195352;F1;ALPHA TAURI;1;MEXICO;BAHREIN;24/03/2024;SI;13;3;01:36,1;01:36,0;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:01,1;01:30,8;3,5;0;4,25;11,9;3,5;2;1,5;00:01,5;01:36,1;01:36,1;01:36,1;0,00%;17;00:30,9;0,71;13;0,77%;0,23;2;2;0;0;0;0;0;0;0;0;0;0;2;0;7;7;0;0;7;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
2;TXSHURA;TXSHURAXX;F1;ASTON;1;BRASIL;BAHREIN;24/03/2024;DNF;15;0;01:36,5;01:36,5;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:02,3;01:30,8;4;1;12,78;11,36;4;1;0;00:03,2;01:36,5;01:36,5;01:36,5;0,00%;115;00:31,3;5,66;12;1,62%;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;8;8;0;0;8;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
3;JULIO;ELPAPURRI540;F1;ASTON;1;MEXICO;BAHREIN;24/03/2024;SI;11;5;01:35,2;01:35,2;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;#¡DIV/0!;01:30,8;5;0;12,78;11,36;5;1;5;00:00,0;01:35,2;01:35,2;01:35,2;0,00%;115;00:29,9;0;11;0,00%;0,45;1;1;0;0;0;0;0;0;1;0;0;0;0;0;5;5;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
4;BMR ADRIAN;BMR-ADRIAN;F1;MCLAREN;1;BOLIVIA;BAHREIN;24/03/2024;DNF;16;0;01:34,0;01:34,0;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:05,1;01:30,8;8,33;2;9,6;13,32;8,33;1;0;00:09,8;01:34,0;01:34,0;01:34,0;0,00%;48;00:28,8;14,43;10;1,64%;0;3;3;0;0;0;0;0;3;0;0;0;0;0;0;25;25;0;0;25;0;0;0;0;0;8;0;0;1;1;0;0;1;1;0;0
5;MAXI;MXMARIANO;F1;RED BULL;1;MEXICO;BAHREIN;24/03/2024;SI;2;23;01:33,9;01:33,9;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:10,3;01:30,8;9,4;12;11,15;16;15,21;31;0,74;00:38,8;01:27,9;01:16,0;01:33,9;33,33%;145;00:28,7;7,96;9;-8,43%;11,5;43;22;7;14;19;4;0;6;8;5;1;0;0;0;502;157;138;207;47;157;60;19;219;0;7;20;15;5;0;2;3;12;1;4;7
6;JAMES;JAMES ORTIZ9763;F1;MCLAREN;1;COLOMBIA;BAHREIN;24/03/2024;SI;12;4;01:33,4;01:33,4;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:00,0;01:30,8;11,5;0;9,6;13,32;11,5;2;2;00:00,0;01:33,4;01:33,4;01:33,4;0,00%;48;00:28,2;10,61;8;0,02%;0,33;2;2;0;0;0;0;0;2;0;0;0;0;0;0;23;23;0;0;23;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
7;MAGALDI;NICOMAGALDI1985;F1;FERRARI;1;ARGENTINA;BAHREIN;24/03/2024;SI;8;10;01:35,1;01:35,1;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:15,3;01:30,8;11;1;11,88;14,53;11;4;2,5;00:34,8;01:35,1;01:35,1;01:35,1;0,00%;95;00:29,8;5,43;8;-1,74%;1,25;5;5;0;0;0;5;0;0;0;0;0;0;0;0;55;55;0;0;55;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
8;SEVERAL;SKY-SEVERAL;F1;ALPHA ROMEO;1;MEXICO;BAHREIN;24/03/2024;SI;4;19;01:34,4;01:34,4;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:10,7;01:30,8;11;2;9,17;11,03;11;2;9,5;00:26,0;01:34,4;01:34,4;01:34,4;0,00%;55;00:29,1;8,21;8;0,05%;4,75;4;4;0;0;0;0;0;0;0;0;0;4;0;0;44;44;0;0;44;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
9;ESTEBAN;STEBAN_FBE;F1;ALPINE;1;COLOMBIA;BAHREIN;24/03/2024;SI;10;6;01:35,1;01:35,1;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;00:01,7;01:30,8;10,5;0;15,7;11,76;10,5;2;3;00:02,4;01:35,1;01:35,1;01:35,1;0,00%;157;00:29,9;6,36;8;-1,28%;0,6;2;2;0;0;0;0;0;0;0;0;2;0;0;0;21;21;0;0;21;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
10;DANTE;DANTERO22;F1;RED BULL;1;MEXICO;BAHREIN;24/03/2024;SI;7;12;01:35,0;01:35,0;12,9;15;8,6;6,57;6;3,94;01:27,6;01:27,7;00:12,2;#¡DIV/0!;01:30,8;12;0;11,15;16;12;1;12;00:00,0;01:35,0;01:35,0;01:35,0;0,00%;145;00:29,7;0;7;0,00%;1,71;1;1;0;0;1;0;0;0;0;0;0;0;0;0;12;12;0;0;12;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0
