NUMERO REGISTRO,TEMP,FECHA,POS,PUN,FAST,FAST2,PROMEDIO PUNTOS,MEDIANA PUNTOS,DESVIACION PUNTOS,PROMEDIO POSICION,MEDIANA POSICION,DESVIACION POSICION,PROMEDIO VUELTA,MEDIANA VUELTA,DESVIACION VUELTA,DESVIACION VUELTA PILOTO,PROMEDIO TIEMPO VUELTA POR PISTA,PROM PUNTOS POR TEMPORADA,NUM DNF PILOTO
1,1,1711238400000000000,13,3,96.001,96.0,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,1.001,90.008,3.5,0
2,1,1711238400000000000,15,0,96.005,96.005,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,2.003,90.008,4.0,1
4,1,1711238400000000000,16,0,94.0,94.0,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,5.001,90.008,8.33,2
5,1,1711238400000000000,2,23,93.009,93.009,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,10.003,90.008,9.4,12
6,1,1711238400000000000,12,4,93.004,93.004,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,0.0,90.008,11.5,0
7,1,1711238400000000000,8,10,95.001,95.001,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,15.003,90.008,11.0,1
8,1,1711238400000000000,4,19,94.004,94.004,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,10.007,90.008,11.0,2
9,1,1711238400000000000,10,6,95.001,95.001,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,1.007,90.008,10.5,0
11,1,1711238400000000000,3,21,94.009,94.009,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,13.004,90.008,14.0,0
12,1,1711238400000000000,6,15,95.004,95.004,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,10.001,90.008,13.33,1
13,1,1711238400000000000,9,8,94.0,94.0,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,11.001,90.008,13.33,2
14,1,1711238400000000000,14,0,94.006,94.006,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,12.006,90.008,14.6,1
16,1,1711238400000000000,1,26,91.005,91.005,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,14.009,90.008,22.0,1
17,1,1711497600000000000,12,4,97.006,97.006,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,1.001,93.008,3.5,0
18,1,1711497600000000000,9,8,99.007,99.007,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,2.003,93.008,4.0,1
19,1,1711497600000000000,13,3,95.0,95.0,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,8.004,93.008,3.0,1
20,1,1711497600000000000,10,6,98.0,98.0,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,4.008,93.008,5.0,0
21,1,1711497600000000000,1,25,91.005,91.005,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,5.001,93.008,8.33,2
22,1,1711497600000000000,11,5,93.007,93.007,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,10.003,93.008,9.4,12
23,1,1711497600000000000,7,12,96.001,96.001,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,13.007,93.008,9.0,0
24,1,1711497600000000000,4,19,93.004,93.004,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,0.0,93.008,11.5,0
25,1,1711497600000000000,14,0,93.0,93.0,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,10.007,93.008,11.0,2
26,1,1711497600000000000,6,15,92.007,92.007,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,1.007,93.008,10.5,0
28,1,1711497600000000000,5,17,94.0,94.0,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,10.001,93.008,13.33,1
29,1,1711497600000000000,3,21,94.007,94.007,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,11.001,93.008,13.33,2
30,1,1711497600000000000,2,23,93.006,93.006,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,12.006,93.008,14.6,1
31,1,1711843200000000000,13,3,85.001,85.001,12.9,15,8.6,6.57,6,3.94,87.006,87.007,12.002,7.007,82.003,4.0,1
